,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Cyclelife,cyle_log
0,-1.632426848,-1.99558501,-2.122340179,-0.709694604,0.068884546,-0.003767809,-5.35E-06,1.070659091,-4.19E-05,1.073592474,1.0674551,0.0039161,1.0694544,10.044531,33.974361,30.64265223,3155.148238,0.015398955,0.015180224,-0.000128412,1009,3.003891166
1,-1.651224532,-2.016778931,-2.142554099,-0.543073173,0.05076408,-0.003753382,-1.47E-05,1.068472358,-6.47E-05,1.072881217,1.0650603,0.0036796,1.0664777,10.04113867,38.707848,31.221146,3413.622588,0.015162034,0.014931546,-0.000102823,1063,3.026533265
2,-1.571272268,-1.970396519,-2.058086629,-0.319166474,0.008770857,-0.003719433,-1.27E-05,1.065298418,-7.75E-05,1.071194784,1.0628892,0.002645,1.0635946,10.04206533,40.076626,31.780437,3536.128531,0.015006617,0.014885032,5.61E-05,1115,3.047274867
3,-1.605368409,-1.995401847,-2.089015581,-0.36065353,0.044585786,-0.003055656,-5.23E-06,1.074804658,-2.38E-05,1.076184468,1.0724765,0.0027885,1.0738586,10.04503133,33.39357831,30.86325642,3147.541607,0.015246842,0.015085269,-6.73E-05,1048,3.020361283
4,-1.594395868,-1.941355158,-2.056994731,-0.78786009,0.108811655,-0.003516727,-1.60E-05,1.053974207,-6.30E-05,1.058087015,1.0514506,0.0026052,1.0518515,10.04191,40.19554383,31.60561894,3484.763151,0.015374157,0.015130546,-0.000167234,828,2.918030337
5,-1.274074926,-1.544887619,-1.762636841,-0.315910258,-0.061941634,-0.02215991,-0.000202398,1.064081999,-0.000243287,1.068014835,1.0626124,0.0004592,1.04378,10.06247167,37.461433,30.94306117,3342.547044,0.013527169,0.013527169,0.000320148,667,2.824125834
6,-1.768045875,-2.152564374,-2.244153838,-0.467522164,0.079457689,-0.002131123,-2.36E-06,1.070297655,-6.75E-05,1.076085287,1.0675218,0.0033972,1.0684743,11.04157733,34.60008198,31.00022334,3214.186777,0.015535541,0.015372629,-3.54E-05,1836,3.263872677
7,-1.57107236,-1.927883668,-2.045684623,-0.667416149,0.106922666,-0.003410334,-3.31E-06,1.068174847,-3.77E-05,1.070842241,1.0647362,0.0039782,1.067026,10.04495,35.54589716,30.969942,3239.487989,0.015438134,0.01520093,-0.000172681,828,2.918030337
8,-1.529071212,-1.839291073,-1.990931221,-1.252987647,0.129437322,-0.004967161,6.68E-07,1.072825256,-8.25E-06,1.073239733,1.0694826,0.0038881,1.0724456,10.04174933,35.68543912,31.0201248,3242.674231,0.015903223,0.015742281,-2.94E-05,1039,3.016615548
9,-1.719125239,-2.07908483,-2.205460706,-0.610911056,0.076230822,-0.003161444,-2.88E-06,1.064525264,-0.000113952,1.074603958,1.0617746,0.0032262,1.0623909,11.04500333,35.20887742,30.42616191,3188.473581,0.015551002,0.015318613,-0.000143864,1078,3.032618761
10,-1.467406442,-1.806299754,-1.942243326,-0.853274963,0.10229864,-0.005870842,-1.77E-05,1.070729462,-3.90E-05,1.072246544,1.0680679,0.0026928,1.0682998,10.04221833,38.22832464,31.117903,3351.980946,0.015608084,0.015485173,-4.96E-05,817,2.912222057
11,-1.498462568,-1.814886031,-1.973177733,-2.045376078,0.108352195,-0.006072419,-6.68E-06,1.076676032,-2.38E-05,1.077940266,1.0741653,0.0027777,1.0755343,10.04249167,36.1158558,30.95178679,3255.643362,0.016139418,0.01599754,-4.04E-05,932,2.969415912
12,-1.558366377,-1.929390343,-2.047015987,-0.587928164,0.078434661,-0.003419358,-1.22E-05,1.069335077,-4.98E-05,1.072257731,1.065558,0.0040867,1.067306,10.04231967,37.80334002,31.00840862,3343.624094,0.015250437,0.01506449,-0.000145141,816,2.911690159
13,-1.533393919,-1.879309044,-1.999616592,-0.716601829,0.120520241,-0.003836441,4.64E-06,1.076779365,-1.70E-05,1.078110351,1.0727056,0.0050386,1.0763919,10.041712,36.10149946,30.790092,3245.782832,0.015668793,0.015496999,-7.74E-05,858,2.933487288
14,-1.530408516,-1.8748334,-2.000124955,-0.812976499,0.10865481,-0.004274607,-1.16E-05,1.071136518,-7.97E-05,1.077064293,1.0684187,0.0028587,1.0693594,10.04153367,37.344582,30.48859917,3284.088782,0.015417448,0.01525728,-9.03E-05,876,2.942504106
15,-1.871213282,-2.273818866,-2.347039494,-1.273501176,-0.05127774,-0.002983686,-9.69E-06,1.064003112,-8.32E-05,1.070542173,1.061009,0.0033309,1.0625579,11.04336633,38.21816186,31.64106944,3424.281204,0.015453937,0.015253145,-0.000120936,1638,3.214313897
16,-1.7475744,-2.140488428,-2.219639284,-1.777335405,-0.088713941,-0.004417854,-5.83E-06,1.067345296,-2.00E-05,1.068533195,1.0664514,0.0025996,1.0664585,10.04197433,38.138309,31.04113689,3436.914963,0.015524552,0.01535425,-0.000162275,1315,3.118925753
17,-1.629750306,-1.985384664,-2.126808745,-0.640237159,0.024125686,-0.005007944,-2.93E-05,1.070361931,-7.01E-05,1.074033416,1.0680237,0.0021301,1.0670015,10.04312967,38.518787,32.020798,3458.576218,0.015098186,0.014978203,-3.74E-05,1146,3.059184618
18,-1.596988363,-1.937588019,-2.085753681,-0.917652272,0.046058591,-0.00552114,-2.97E-05,1.074235086,-7.90E-05,1.078710202,1.0719248,0.0019749,1.0708553,10.043437,38.401493,31.769892,3439.654828,0.015555796,0.015178323,-4.25E-05,1155,3.062581984
19,-1.551726744,-1.923746211,-2.032955091,-0.469121786,0.072911487,-0.003484364,-7.15E-06,1.067814756,-4.07E-05,1.070552776,1.0650502,0.0030607,1.0664401,10.04332967,36.232254,30.59856744,3244.071147,0.015409848,0.015206913,-7.64E-05,813,2.910090546
20,-1.363751397,-1.628217448,-1.851946087,-0.295729559,-0.072584687,-0.018335863,-0.000159492,1.070112267,-0.000192495,1.073130889,1.0678563,0.0008404,1.0538316,10.067868,38.317612,31.55476192,3420.241884,0.013943589,0.01394002,0.000233937,772,2.8876173
21,-1.546539013,-1.862565162,-2.023193943,-1.276362836,0.103452596,-0.005950154,-1.60E-05,1.05897035,-5.29E-05,1.062242032,1.0562643,0.0028446,1.0569046,10.04338433,37.97354076,31.405123,3391.854302,0.015852775,0.015614755,-0.000122983,1002,3.000867722
22,-1.60603194,-1.985249237,-2.077410242,-0.473985523,0.101008493,-0.002010983,9.65E-06,1.049949028,-5.47E-05,1.055517054,1.0462732,0.0048557,1.050084,10.04224033,37.871063,31.71232416,3399.37733,0.015751192,0.01550305,-0.000150559,825,2.916453949
23,-1.575506312,-1.961545893,-2.073063116,-0.436102642,0.030735094,-0.003425932,6.95E-06,1.064468012,-5.59E-05,1.06989657,1.0611302,0.0043403,1.0643663,10.04159833,39.5951108,31.926973,3487.042687,0.015752004,0.015591009,-4.92E-05,989,2.995196292
24,-1.616559163,-1.993979486,-2.109536451,-0.465776501,0.025503714,-0.004120246,-4.29E-07,1.075134168,-4.37E-05,1.078754517,1.0720186,0.0037909,1.074435,10.04181667,39.786995,31.812666,3503.124381,0.015693368,0.015538619,-4.24E-05,1028,3.011993115
25,-1.575113615,-1.970214143,-2.0648489,-0.442306919,0.046943114,-0.002895925,-4.04E-06,1.063914867,-4.65E-05,1.067372125,1.0604171,0.0040355,1.0627574,10.04502233,38.98098,31.88298,3460.237796,0.015073455,0.014868693,-9.95E-05,850,2.929418926
26,-1.237838393,-1.519186777,-1.725611691,-0.523396751,-0.008640401,-0.02167493,-0.000198022,1.054621147,-0.000267253,1.060669153,1.0518668,0.0008317,1.0340093,10.05914167,39.85648636,31.972694,3498.271949,0.013169404,0.013169404,0.000435923,541,2.733197265
27,-1.538779559,-1.946899452,-2.031570794,-0.457860949,0.071792871,-0.002686028,4.08E-06,1.070292311,-5.96E-05,1.075542098,1.0663688,0.004832,1.0696349,10.04168767,31.999889,30.393116,3063.772211,0.014962286,0.014745088,-0.000165511,858,2.933487288
28,-1.572884567,-1.953209518,-2.049895518,-0.411939153,0.055725818,-0.003441804,-3.42E-06,1.071880175,-3.10E-05,1.074063598,1.0687393,0.0036005,1.0710108,10.04367867,34.756858,30.474829,3159.876736,0.015732529,0.015509814,-0.000114126,935,2.970811611
29,-1.448313282,-1.786467672,-1.919584257,-0.917743225,0.111140247,-0.005812061,-9.00E-06,1.071258666,-3.54E-05,1.073281415,1.0681812,0.0034605,1.0698149,10.04647767,37.242977,30.81633655,3331.99831,0.015983483,0.015812302,-2.98E-05,731,2.863917377
30,-1.701454189,-2.105203468,-2.197731911,-0.376714345,0.003858915,-0.003039712,-1.26E-05,1.062801338,-5.69E-05,1.066627388,1.060272,0.0026444,1.0609198,10.04330133,34.695709,31.415869,3244.521808,0.015511206,0.015279103,-0.000153993,1284,3.108565024
31,-1.667361755,-2.019905433,-2.152612496,-0.734992783,0.06288837,-0.003900595,-2.12E-05,1.06432507,-7.77E-05,1.069308148,1.061535,0.0027431,1.0615493,10.04418467,39.49040963,31.956257,3506.39779,0.015438841,0.015220164,-0.000106908,1158,3.063708559
32,-1.637742362,-2.007604425,-2.117211889,-0.528215339,0.061761013,-0.003399793,-1.95E-05,1.065495417,-4.98E-05,1.068198545,1.0633804,0.0020494,1.0632331,10.04314867,39.086731,31.761244,3482.267812,0.01549053,0.015308049,-7.60E-05,1093,3.038620162
33,-1.638615704,-2.003998333,-2.126511704,-0.600116743,0.040137917,-0.003765574,-2.20E-05,1.060483815,-5.94E-05,1.063666739,1.0575287,0.0030761,1.0577667,10.043801,39.893036,31.939495,3516.153406,0.015267849,0.015083324,-8.83E-05,923,2.965201701
34,-1.69578949,-2.060826155,-2.170809266,-1.266283531,0.070734681,-0.003795779,-8.79E-06,1.072430919,-6.19E-05,1.077245644,1.0701473,0.0025093,1.0710695,10.044471,38.268311,30.966864,3405.122013,0.015988033,0.015742945,-0.000115897,1935,3.286680969
35,-1.758007558,-2.191894501,-2.227100282,-0.533816817,0.001306764,-0.001619909,-6.58E-06,1.050918796,-2.41E-05,1.052010814,1.0474036,0.004107,1.0495038,10.043833,36.491322,30.9973162,3320.904448,0.015740704,0.015480768,-0.000155274,1156,3.062957834
36,-1.656516677,-2.04196861,-2.147336882,-0.501095774,0.056337958,-0.002503893,-7.69E-06,1.063391687,-4.83E-05,1.066635646,1.0593235,0.00451,1.0617574,10.043563,38.358112,30.658075,3337.234477,0.015561919,0.015254971,-0.000234305,796,2.900913068
37,-1.616310388,-2.011082228,-2.109537429,-0.447169341,0.026586428,-0.003228927,9.73E-06,1.053877799,-5.06E-05,1.059149495,1.0505219,0.0043619,1.0541531,10.04297433,37.245838,30.47063702,3296.789848,0.01854171,0.017006677,-0.000173132,786,2.895422546
38,-1.585275075,-1.94957921,-2.065530505,-0.61151449,0.092859503,-0.00313518,4.69E-06,1.073078213,-1.79E-05,1.074668847,1.06972,0.0041849,1.0729284,10.04343567,36.881859,30.183569,3268.477965,0.015722955,0.01551657,-0.000105745,940,2.973127854
39,-1.783096536,-2.146803739,-2.260208144,-0.483936795,0.070823912,-0.002677592,-1.26E-07,1.071472276,-7.19E-06,1.071735902,1.0695485,0.0025962,1.0711251,11.03765,35.085537,30.620083,3207.216268,0.015742011,0.015557319,-7.95E-05,1801,3.255513713